SMILES,GENERIC_NAME,SYNONYMS
CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O,Goserelin,Goserelin; Goserelina
N=C(N)NCCC[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSCCC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,Desmopressin,1-(3-mercaptopropionic acid)-8-D-arginine-vasopressin; 1-deamino-8-D-arginine vasopressin; 1-desamino-8-D-arginine vasopressin; dDAVP; Desmopresina; Desmopressin; Desmopressine; Desmopressinum
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,Cyclosporine,Ciclosporin; Ciclosporina; Ciclosporine; Ciclosporinum; CsA; CyA; Cyclosporin; Cyclosporin A; Cyclosporine
Cc1ncc(COP(=O)(O)O)c(C=O)c1O,Pyridoxal phosphate,3-hydroxy-2-methyl-5-((phosphonooxy)methyl)-4-pyridinecarboxaldehyde; 3-hydroxy-5-(hydroxymethyl)-2-methylisonicotinaldehyde 5-phosphate; Codecarboxylase; PLP; Pyridoxal 5-monophosphoric acid ester; Pyridoxal 5-phosphate; Pyridoxal 5'-phosphate; Pyridoxal P; Pyridoxal phosphate anhydrous; Pyridoxal-5P; Pyridoxal-P
O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,Ascorbic acid,acide ascorbique; ácido ascórbico; Acidum ascorbicum; acidum ascorbinicum; Ascorbate; Ascorbic acid; Ascorbinsäure; L-(+)-ascorbic acid; L-Ascorbate; L-Ascorbic Acid; Vitamin C; Vitamina C
N[C@@H](CC(=O)O)C(=O)O,Aspartic acid,(S)-2-aminobutanedioic acid; (S)-2-aminosuccinic acid; 2-Aminosuccinic acid; ácido aspártico; Acidum asparticum; Asp; Aspartic acid; D; L-Asp; L-Asparaginsäure; L-Aspartate; L-Aspartic acid
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,Adenosine phosphate,5'-Adenosine monophosphate; 5'-Adenylic acid; 5'-AMP; 5'-O-Phosphonoadenosine; Adenosine 5'-(dihydrogen phosphate); Adenosine 5'-monophosphate; Adenosine 5'-phosphate; Adenosine monophosphate; Adenosine phosphate; Adenosine-5'-Monophosphate; Adenosine-5'-monophosphoric acid; Adenosine-5'P; Adenosini phosphas; Adenylate; Adenylic acid; Ado5'P; AMP; Fosfato de adenosina; PAdo; Phosphate d'adénosine
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,alpha-Linolenic acid,"(9,12,15)-linolenic acid; (9Z,12Z,15Z)-Octadecatrienoic acid; (Z,Z,Z)-9,12,15-octadecatrienoic acid; 9-cis,12-cis,15-cis-octadecatrienoic acid; 9,12,15-Octadecatrienoic acid; ALA; all-cis-9,12,15-Octadecatrienoic acid; alpha-Linolenic acid; cis-delta(9,12,15)-Octadecatrienoic acid; cis,cis,cis-9,12,15-Octadecatrienoic acid; Linolenic acid; α-linolenic acid"
N[C@@H](Cc1ccc(O)cc1)C(=O)O,Tyrosine,(−)-α-amino-p-hydroxyhydrocinnamic acid; (2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid; (S)-(-)-Tyrosine; (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid; (S)-3-(p-Hydroxyphenyl)alanine; (S)-alpha-amino-4-Hydroxybenzenepropanoic acid; (S)-Tyrosine; (S)-α-amino-4-hydroxybenzenepropanoic acid; 4-hydroxy-L-phenylalanine; L-Tyrosin; L-tyrosine; Tirosina; Tyr; Tyrosine; Tyrosinum; Y
O=C(O)CCC(=O)O,Succinic acid,"1,2-ethanedicarboxylic acid; Acide butanedioïque; Acide succinique; Acidum succinicum; Amber acid; Asuccin; Bernsteinsäure; Butandisäure; Butanedioic acid; Butanedionic acid; Dihydrofumaric acid; Ethylenesuccinic acid; Spirit of amber; Succinic acid"
N[C@@H](CCC(=O)O)C(=O)O,Glutamic acid,(2S)-2-Aminopentanedioic acid; (S)-2-Aminopentanedioic acid; (S)-Glutamic acid; ácido glutámico; Glu; Glutamic acid; L-Glutamate; L-Glutamic acid; L-Glutaminic acid
NCC(=O)O,Glycine,Aminoacetic acid; Aminoessigsäure; Aminoethanoic acid; Glicina; Gly; Glycin; Glycine; Glycocoll; Glykokoll; Glyzin; Leimzucker
NC(=O)C1=CN([C@@H]2O[C@H](CO[P@@](=O)(O)O[P@@](=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,NADH,"1,4-dihydronicotinamide adenine dinucleotide; DPNH; NAD reduced form; Nicotinamide adenine dinucleotide (reduced); Nicotinamide-adenine dinucleotide, reduced; Reduced nicotinamide adenine diphosphate; Reduced nicotinamide-adenine dinucleotide"
Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,Folic acid,"Acide folique; ácido fólico; Acidum folicum; Folacin; Folate; Folic acid; Folsäure; N-[(4-{[(2-amino-4-oxo-1,4-dihydropteridin-6-yl)methyl]amino}phenyl)carbonyl]-L-glutamic acid; N-pteroyl-L-glutamic acid; PGA; PteGlu; Pteroyl-L-glutamate; Pteroyl-L-glutamic acid; Pteroyl-L-monoglutamic acid; Pteroylglutamic acid; Vitamin B9; Vitamin Bc; Vitamin M"
Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,Vitamin E,"(+)-α-tocopherol; (2R,4'R,8'R)-α-tocopherol; (R,R,R)-α-tocopherol; 5,7,8-trimethyltocol; alpha-tocopherol; d-α-tocopherol"
O=C(O)CCCC[C@@H]1CCSS1,Lipoic acid,"(+)-alpha-Lipoic acid; (R)-(+)-Lipoate; (R)-(+)-lipoic acid; (R)-1,2-Dithiolane-3-pentanoic acid; (R)-1,2-dithiolane-3-valeric acid; (R)-6,8-thioctic acid; (R)-lipoic acid; Alpha lipoic acid; alpha-Lipoic acid; alpha-Liponsäure; D-thioctic acid; Lipoic acid; R-(+)-thioctic acid; R-alpha-lipoic acid; Thioctic acid; Thioctic acid D-form; α-lipoic acid"
CC(N)Cc1ccccc1,Amphetamine,(+-)-alpha-Methylphenylethylamine; 1-phenyl-2-aminopropane; alpha-Methylbenzeneethaneamine; Amfetamina; Amfetamine; Amfetaminum; Amphetamine; beta-Aminopropylbenzene; beta-Phenylisopropylamin; Desoxynorephedrine; rac-(2R)-1-phenylpropan-2-amine; rac-amphetamine; α-methylbenzeneethaneamine; α-methylphenethylamine; β-aminopropylbenzene; β-phenylisopropylamine
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,Lorazepam,Loracepam; Lorazepam; o-Chlorooxazepam; o-Chloroxazepam
C#CC(O)(/C=C/Cl)CC,Ethchlorvynol,1-chloro-3-ethyl-1-penten-4-yn-3-ol; 1-Chloro-3-ethyl-pent-1-en-4-yn-3-ol; 3-(beta-chlorovinyl)-1-pentyn-3-ol; 3-(β-chlorovinyl)-1-pentyn-3-ol; etclorvinol; Ethchlorvynol; ethyl β-chlorovinyl ethynyl carbinol; β-chlorovinyl ethyl ethynyl carbinol
CC(C)(N)Cc1ccccc1,Phentermine,"alpha,alpha-Dimethylphenethylamine; Fentermina; Phentermine; Phentermine resin; Phenterminum"
CC(C)NCCCC1(C(N)=O)c2ccccc2-c2ccccc21,Indecainide,Indecainida; Indecainide; Indecainidum
COc1cccc(C2(O)CCCCC2CN(C)C)c1,Tramadol,Tramadol; Tramadolum
CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,Oseltamivir,"(−)-oseltamivir; 1-Cyclohexene-1-carboxylic acid, 4-(acetylamino)-5-amino-3-(1-ethylpropoxy)-, ethyl ester, (3R-(3alpha,4beta,5alpha))-; Ethyl (3R,4R,5S)-4-acetamido-5-amino-3-(1-ethylpropoxy)-1-cyclohexene-1-carboxylate; Oseltamivir; Oséltamivir; Oseltamivirum"
C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,Succinylcholine,"2,2'-[(1,4-dioxobutane-1,4-diyl)bis(oxy)]bis(N,N,N-trimethylethanaminium); Dicholine succinate; Succinocholine; Succinoylcholine; Succinylbischoline; Succinyldicholine; Suxamethonium"
C/N=C(\NC)NCc1ccccc1,Bethanidine,"Betanidina; Betanidine; Bétanidine; Betanidinum; Bethanidine; N,N'-dimethyl-N''-(phenylmethyl)-guanidine"
C[C@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,Diflorasone,"(6α,11β,16β)-6,9-difluoro-11,17,21-trihydroxy-16-methylpregna-1,4-diene-3,20-dione; Diflorasona; Diflorasone; Diflorasonum"
CC(C)C[C@H](CN)CC(=O)O,Pregabalin,(S)-3-Isobutyl GABA; 3-Isobutyl GABA; Pregabalin; Pregabalina
CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,Temazepam,Temazepam
Nc1ccc(C(=O)O)c(O)c1,Aminosalicylic acid,4-amino-2-hydroxybenzoic acid; 4-aminosalicylate; 4-aminosalicylic acid; Aminosalicylic acid; p-aminosalicylic acid; para-amino salicylic acid; para-aminosalicylic acid; PAS
CCC(C)C1(CC)C(=O)NC(=O)NC1=O,Butabarbital,"5-ethyl-5-(1-methylpropyl)-2,4,6(1H,3H,5H)-pyrimidinetrione; 5-ethyl-5-(1-methylpropyl)barbituric acid; 5-sec-butyl-5-ethyl-2,4,6(1H,3H,5H)-pyrimidinetrione; 5-sec-butyl-5-ethylbarbituric acid; 5-sec-butyl-5-ethylpyrimidine-2,4,6(1H,3H,5H)-trione; Butabarbital; Secbutabarbital; Secbutabarbitale; Secbutabarbitalum"
C[C@@H]1C[C@H]2[C@H]3[C@H]([C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO)[C@@]1(C)C=CC(=O)C=C1C[C@H]3Cl,Alclometasone,"(7alpha,11beta,16alpha)-7-chloro-11,17,21-trihydroxy-16-methylpregna-1,4-diene-3,20-dione; 7α-Chloro-16α-methylprednisolone; Alclometasone"
CN1[C@H]2CC[C@@H]1C[C@H](OC(c1ccccc1)c1ccccc1)C2,Benzatropine,"3-alpha-(diphenylmethoxy)tropane; 3endo-benzhydryloxytropane; 3α-(diphenylmethoxy)-1αH,5αH-tropane; 3α-(diphenylmethoxy)tropane; 3α-benzhydryloxy-8-methyl-8-azabicyclo[3.2.1]octane; Benzatropina; Benzatropine; Benzatropinum; benzhydryl 8-methyl-8-azabicyclo[3.2.1]oct-3-yl ether; Benztropine; Tropine benzohydryl ether"
CC(=O)[O-].CC(=O)[O-].[Ca+2],Calcium acetate,Acetate of lime; Brown acetate of lime; Calcio acetato; Calcium acetate; calcium ethanoate; calcium(II) acetate; Gray acetate of lime; Lime acetate; Lime pyrolignite
N[C@@H]1CONC1=O,Cycloserine,(+)-4-amino-3-isoxazolidinone; (+)-cycloserine; alpha-Cycloserine; Cicloserina; cyclo-D-Serine; Cycloserine; Cyclosérine; Cycloserinum; D-(+)-cycloserine; D-4-amino-3-isoxazolidinone; D-4-amino-3-isoxazolidone; D-Cycloserine; DCS; Orientomycin; α-Cycloserine
CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,Diatrizoate,"2,4,6-Triiodo-3,5-diacetamidobenzoic acid; 3,5-Bis(acetylamino)-2,4,6-triiodobenzoic acid; 3,5-diacetamido-2,4,6-triiodobenzoic acid; Acide amidotrizoique; Acidum amidotrizoicum; Acidum diacetylaminotrijodbenzoicum; Amidotrizoate; Amidotrizoic Acid; Amidotrizoic acid (anhydrous); Diatrizoesaure; Diatrizoic acid; Diatrizoic acid (anhydrous); Methalamic acid; Triombrin; Urografin acid; Urogranoic acid"
Cn1c(=O)c2[nH]cnc2n(C)c1=O,Theophylline,"1,3-dimethyl-7H-purine-2,6-dione; 1,3-dimethylxanthine; Teofilina; Theophyllin; Theophylline anhydrous; Theophylline, anhydrous"
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,Morphine,"(−)-morphine; (5alpha,6alpha)-17-methyl-7,8-didehydro-4,5-epoxymorphinan-3,6-diol; (5alpha,6alpha)-didehydro-4,5-epoxy-17-methylmorphinan-3,6-diol; (5R,6S,9R,13S,14R)-4,5-epoxy-N-methyl-7-morphinen-3,6-diol; (5α,6α)-17-methyl-7,8-didehydro-4,5-epoxymorphinan-3,6-diol; (5α,6α)-didehydro-4,5-epoxy-17-methylmorphinan-3,6-diol; (7R,7AS,12bs)-3-methyl-2,3,4,4a,7,7a-hexahydro-1H-4,12-methano[1]benzofuro[3,2-e]isoquinoline-7,9-diol; Anhydrous morphine; Morfina; Morphia; Morphin; Morphine; Morphinum; Morphium"
CC(C)OC(=O)OCOP(=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)OCOC(=O)OC(C)C,Tenofovir disoproxil,Bis(POC)PMPA; Tenofovir bis(isopropyloxycarbonyloxymethyl) ester
NC[C@H]1CC[C@H](C(=O)O)CC1,Tranexamic acid,Acide tranéxamique; ácido tranexámico; Acidum tranexamicum; Tranexamic acid; Tranexamsaeure; Tranexmic acid; Tranhexamic acid; Trans AMCHA; trans-4-(Aminomethyl)cyclohexanecarboxylic acid; trans-4-aminomethylcyclohexane-1-carboxylic acid; trans-Amcha; trans-Tranexamic acid
C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,Talbutal,"(RS)-5-allyl-5-sec-butylpyrimidine-2,4,6(1H,3H,5H)-trione; 5-allyl-5-sec-butylbarbituric acid; sec-Butyl allyl barbituric acid; Talbutal; Talbutale; Talbutalum"
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,Pentobarbital,"5-Ethyl-5-(1-methyl-butyl)-pyrimidine-2,4,6-trione; 5-Ethyl-5-(1-methylbutyl)-2,4,6(1H,3H,5H)-pyrimidinetrione; 5-ethyl-5-(1-methylbutyl)barbituric acid; 5-ethyl-5-(sec-pentyl)barbituric acid; Pentobarbital; Pentobarbitone"
CCCC(CCC)C(=O)O,Valproic acid,2-n-propyl-n-valeric acid; 2-propyl-pentanoic acid; 2-Propylpentanoic Acid; 2-Propylvaleric Acid; 4-heptanecarboxylic acid; acide valproïque; ácido valproico; acidum valproicum; di-n-propylacetic acid; Di-n-propylessigsäure; Dipropylacetic acid; DPA; n-DPA; Valproate; Valproic acid; Valproinsäure; VPA
COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,Codeine,"(−)-Codeine; (5alpha,6alpha)-7,8-Didehydro-4,5-epoxy-3-methoxy-17-methylmorphinan-6-ol; 7,8-didehydro-4,5α-epoxy-3-methoxy-17-methylmorphinan-6α-ol; Codein; Codeína; Codéine; Codeine anhydrous; Codeine polistirex; Codeinum; L-Codeine; Methylmorphine; morphine 3-methyl ether; Morphine monomethyl ether; morphine-3-methyl ether; O3-Methylmorphine"
N#C[Fe-2](C#N)(C#N)(C#N)(C#N)N=O,Nitroprusside,Nitroferricyanide
O=C([O-])C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C([O-])C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Ca+2],Calcium glucoheptonate,"Calcii glucoheptonas; calcium (2ξ)-D-gluco-heptonate; calcium bis[(2ξ)-D-glycero-D-gulo-heptonate]; calcium bis[(2ξ)-D-glycero-D-ido-heptonate]; calcium bis[(3R,4S,5R,6R)-2,3,4,5,6,7-hexahydroxyheptanoate]; Calcium gluceptate; Calcium glucoheptonat; Calcium glucoheptonate; Calcium glucoheptonate (1:2); Glucoheptonate de calcium; Glucoheptonato calcico"
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5,Hydromorphone,"(-)-(5R)-4,5-Epoxy-3-hydroxy-9α-methylmorphinan-6-one; 4,5-Epoxy-3-hydroxy-17-methylmorphinan-6-one; 4,5alpha-Epoxy-3-hydroxy-17-methyl-6-morphinanone; 6-Deoxy-7,8-dihydro-6-oxomorphine; 7,8-Dihydromorphinone; Dihydromorfinon; Dihydromorphinone; Dimorphone; Hidromorfona; Hydromorfona; Hydromorphone; Hydromorphonum; Idromorfone"
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,Methadone,"(+-)-Methadone; (+/-)-Methadone; (±)-methadone; 6-Dimethylamino-4,4-diphenyl-3-heptanone; dl-Methadone; Metadona; Methadone; Methadonum"
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,Atenolol,1-p-Carbamoylmethylphenoxy-3-isopropylamino-2-propanol; 2-(p-(2-Hydroxy-3-(isopropylamino)propoxy)phenyl)acetamide; 4-(2-Hydroxy-3-((1-methylethyl)amino)propoxy)benzeneacetamide; Atenolol; Atenololum
Nc1ccc(C(=O)NCC(=O)O)cc1,Aminohippuric acid,4-aminohippuric acid; Aminohippurate; Aminohippuric acid; N-(p-Aminobenzoyl)aminoacetic acid; N-(p-Aminobenzoyl)glycine; N-(para-aminobenzoyl)glycine; p-aminohippurate; p-aminohippuric acid; PAH; PAHA; para-aminohippurate; para-aminohippuric acid ; paraaminohippuric acid
CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,Clobazam,"1-phenyl-5-methyl-8-chloro-1,2,4,5-tetrahydro-2,4-dioxo-3H-1,5-benzodiazepine; 7-Chloro-1-methyl-5-phenyl-1,5-dihydro-benzo[b][1,4]diazepine-2,4-dione; Clobazam; Clobazamum"
CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,Megestrol acetate,"17-Acetoxy-6-methylpregna-4,6-diene-3,20-dione; 17-Hydroxy-6-methylpregna-4,6-diene-3,20-dione 17-acetate; 17alpha-Acetoxy-6-dehydro-6-methylprogesterone; 17alpha-Hydroxy-6-methylpregna-4,6-diene-3,20-dione acetate; 17α-Acetoxy-6-dehydro-6-methylprogesterone; 17α-Hydroxy-6-methylpregna-4,6-diene-3,20-dione acetate; 6-Dehydro-6-methyl-17alpha-acetoxyprogesterone; 6-Dehydro-6-methyl-17α-acetoxyprogesterone; 6-Methyl-17alpha-acetoxypregna-4,6-diene-3,20-dione; 6-Methyl-17alpha-hydroxy-delta(sup 6)-progesterone acetate; 6-Methyl-17α-acetoxypregna-4,6-diene-3,20-dione; 6-Methyl-17α-hydroxy-delta(sup 6)-progesterone acetate; 6-Methyl-6-dehydro-17alpha-acetoxyprogesterone; 6-Methyl-6-dehydro-17α-acetoxyprogesterone; 6-Methyl-delta(sup 4,6)-pregnadien-17alpha-ol-3,20-dione acetate; 6-Methyl-delta(sup 4,6)-pregnadien-17α-ol-3,20-dione acetate; 6-Methyl-delta(sup 6)-dehydro-17alpha-acetoxyprogesterone; 6-Methyl-delta(sup 6)-dehydro-17α-acetoxyprogesterone; Megestrol acetate; MGA"
Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,Grepafloxacin,Grepafloxacin
CCCC(C)(COC(N)=O)COC(N)=O,Meprobamate,Meprobamat; Meprobamate; Meprobamato; Meprobamatum; Meprobamic acid
CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C,Beclomethasone dipropionate,"(11β,16β)-9-chloro-11-hydroxy-16-methyl-17,21-bis(1-oxopropoxy)pregna-1,4-diene-3,20-dione; 9-chloro-11β-hydroxy-16β-methylpregna-1,4-diene-3,20-dione 17,21-dipropionate; 9-chloro-16β-methyl-11β,17,21-trihydroxypregna-1,4-diene-3,20-dione 17,21-dipropionate; beclometasone 17,21-dipropionate; Beclometasone dipropionate; Beclometasone dipropionate anhydrous; Beclometasone dipropionato; Beclomethasone dipropionate"
CCCC(C)(COC(N)=O)COC(=O)NC(C)C,Carisoprodol,"(±)-2-methyl-2-propyl-1,3-propanediol carbamate isopropylcarbamate; (1-methylethyl)carbamic acid 2-(((aminocarbonyl)oxy)methyl)-2-methylpentyl ester; (RS)-2-{[(aminocarbonyl)oxy]methyl}-2-methylpentyl isopropylcarbamate; 2-methyl-2-propyl-1,3-propanediol carbamate isopropylcarbamate; 2-methyl-2-propyltrimethylene carbamate isopropylcarbamate; carbamic acid 2-isopropylcarbamoyloxymethyl-2-methyl-pentyl ester; Carisoprodol; Carisoprodolo; Carisoprodolum; Isobamate; Isomeprobamate; Isopropyl meprobamate; Isopropylmeprobamate; N-isopropy-2-methyl-2-propyl-1,3-propanediol dicarbamate"
CC(N)C(O)c1ccccc1,Phenylpropanolamine,(+-)-Norephedrine; (+-)-Phenylpropanolamine; Fenilpropanolamina; Norephedrine; Phenylpropanolamin; Phenylpropanolamina; Phénylpropanolamine; Phenylpropanolamine; Phenylpropanolaminum; PPA
