,PC1,PC2,PC3,kmeans_cluster
"1,2-Benzodiazepine",-3.2829153470310226,-3.1331445175327666,-3.200898537418486,0
"1,2-Distearoyllecithin",-9.629303225083817,-0.934575416312809,-1.1192494945015832,3
"1,2-icosapentoyl-sn-glycero-3-phosphoserine",3.424508325015,-1.7225922223441634,6.161932444867213,0
1-Palmitoyl-2-oleoyl-sn-glycero-3-(phospho-rac-(1-glycerol)),-8.816640854235112,-0.6299312370963862,0.5724983205623304,3
"2,2'-Dibenzothiazyl disulfide",-1.1935227818179592,-6.414176089332231,-2.5049025246637813,0
2-mercaptobenzothiazole,24.03115792070428,-8.92781879774143,-2.950523887851853,1
4-(Isopropylamino)diphenylamine,6.689840253345936,9.46165359414536,6.363897867983287,2
5-O-phosphono-alpha-D-ribofuranosyl diphosphate,-12.264054106260172,-3.933709751340192,-0.6847876374807175,3
Abacavir,3.606152329072618,-3.9724551970570285,-3.4990492842117513,0
Abametapir,-2.8099320212129575,6.993827371214967,0.47132747061464736,2
Abarelix,-13.033096782888636,-7.575755779112447,-5.138815711830638,3
Abemaciclib,3.939259471662361,-1.1972698906043033,-4.268757296690563,0
Abiraterone,-1.1853800896864883,-7.61079969578527,-5.468597408957399,0
Abrocitinib,1.429390845414746,4.190170711209194,4.084794560689332,2
Acalabrutinib,12.236636777736418,3.6076437546829037,-1.3015530133693751,1
Acamprosate,-4.132988348687156,-2.5336444688044106,0.887143666993876,0
Acarbose,-2.6333989500092714,-3.9152901802969162,3.954599986671308,0
Acebutolol,2.663133882473108,-3.0152471034122024,6.7562441833904945,0
Aceclidine,2.830562890577576,1.036083694859093,2.382420645842847,0
Aceclofenac,11.690319726780148,-2.015583636998227,5.342671073776667,1
Acemetacin,1.797063553982702,14.749699579784807,-0.5673641817218218,2
Acenocoumarol,-9.742720446606825,14.72756356219984,-4.4540430828285125,2
Acetaminophen,-10.785726756201742,2.8173875816004217,3.3060643860024155,3
Acetarsol,-11.49081586663471,-4.483447268634763,-0.4957861895701447,3
Acetazolamide,-0.778600312471533,3.5581562652397647,4.606252446093855,0
Acetic acid,12.34655176473877,0.9544497171275073,6.013150721512513,1
Acetohexamide,-12.048976276205936,-1.2334598690199208,-0.25777855516429293,3
