SMILES,GENERIC_NAME,SYNONYMS
CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)O,Bivalirudin,Bivalirudin; Bivalirudina; Bivalirudinum
CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O,Goserelin,Goserelin; Goserelina
CC(C)C[C@@H](NC(=O)CNC(=O)[C@@H](NC=O)C(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCO)C(C)C)C(C)C)C(C)C,Gramicidin D,Bacillus brevis gramicidin D; Gramicidin; Gramicidin A; Gramicidin B; Gramicidin C; Gramicidina; Gramicidine
N=C(N)NCCC[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSCCC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,Desmopressin,1-(3-mercaptopropionic acid)-8-D-arginine-vasopressin; 1-deamino-8-D-arginine vasopressin; 1-desamino-8-D-arginine vasopressin; dDAVP; Desmopresina; Desmopressin; Desmopressine; Desmopressinum
CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CCCNC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,Cetrorelix,Cetrorelix; Cetrorelixum
CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,Daptomycin,Daptomicina; Daptomycin; Daptomycine; Daptomycinum
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,Cyclosporine,Ciclosporin; Ciclosporina; Ciclosporine; Ciclosporinum; CsA; CyA; Cyclosporin; Cyclosporin A; Cyclosporine
CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N(C)[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,Abarelix,Abarelix
Cc1ncc(COP(=O)(O)O)c(C=O)c1O,Pyridoxal phosphate,3-hydroxy-2-methyl-5-((phosphonooxy)methyl)-4-pyridinecarboxaldehyde; 3-hydroxy-5-(hydroxymethyl)-2-methylisonicotinaldehyde 5-phosphate; Codecarboxylase; PLP; Pyridoxal 5-monophosphoric acid ester; Pyridoxal 5-phosphate; Pyridoxal 5'-phosphate; Pyridoxal P; Pyridoxal phosphate anhydrous; Pyridoxal-5P; Pyridoxal-P
C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4/[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@](C)([C@@H]5N=C1[C@](C)(CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@@H]1[C@@H](CO)O[C@H](n6cnc7cc(C)c(C)cc76)[C@@H]1O)[C@H]5CC(N)=O)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]2CCC(N)=O,Cyanocobalamin,Cianocobalamina; Cyanocob(III)alamin; Cyanocobalamin; Cyanocobalamine; Cyanocobalaminum; Vitamin B12; Vitamin B12 complex; Vitamin B12 NOS
C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,Ademetionine,Ademetionine; AdoMet; L-S-Adenosylmethionine; S-Adenosylmethionine; SAM; SAM-e; SAMe
CC(=O)C(=O)O,Pyruvic acid,2-ketopropionic acid; 2-oxopropanoic acid; 2-Oxopropansäure; 2-Oxopropionsäure; a-Ketopropionic acid; Acetylformic acid; acide pyruvique; alpha-ketopropionic acid; Brenztraubensäure; BTS; Pyroracemic acid; α-ketopropionic acid; α-Oxopropionsäure
N[C@@H](Cc1ccccc1)C(=O)O,Phenylalanine,(S)-2-Amino-3-phenylpropionic acid; (S)-alpha-Amino-beta-phenylpropionic acid; 3-phenyl-L-alanine; beta-Phenyl-L-alanine; F; Fenilalanina; L-Phenylalanine; Phe; Phenylalanine; Phenylalaninum; β-phenyl-L-alanine
O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12,Biotin,"(+)-cis-Hexahydro-2-oxo-1H-thieno[3,4]imidazole-4-valeric acid; (3aS,4S,6aR)-Hexahydro-2-oxo-1H-thieno[3,4-d]imidazole-4-valeric acid; 5-(2-oxohexahydro-1H-thieno[3,4-d]imidazol-4-yl)pentanoic acid; Biotin; Biotina; Biotine; Biotinum; cis-(+)-Tetrahydro-2-oxothieno[3,4]imidazoline-4-valeric acid; cis-Hexahydro-2-oxo-1H-thieno(3,4)imidazole-4-valeric acid; cis-Tetrahydro-2-oxothieno(3,4-d)imidazoline-4-valeric acid; Coenzyme R; D-(+)-biotin; D-Biotin; Vitamin B7; Vitamin H"
C[N+](C)(C)CCO,Choline,"Bilineurine; Choline ion; N-trimethylethanolamine; N,N,N-trimethylethanol-ammonium; trimethylethanolamine; Vitamin J"
NCCCC[C@H](N)C(=O)O,Lysine,"(S)-2,6-diaminohexanoic acid; (S)-lysine; (S)-α,ε-diaminocaproic acid; 6-ammonio-L-norleucine; L-2,6-Diaminocaproic acid; L-lys; L-Lysin; L-Lysine; LYS; Lysina; Lysine; Lysine acid; Lysinum"
O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,Ascorbic acid,acide ascorbique; ácido ascórbico; Acidum ascorbicum; acidum ascorbinicum; Ascorbate; Ascorbic acid; Ascorbinsäure; L-(+)-ascorbic acid; L-Ascorbate; L-Ascorbic Acid; Vitamin C; Vitamina C
N[C@@H](CC(=O)O)C(=O)O,Aspartic acid,(S)-2-aminobutanedioic acid; (S)-2-aminosuccinic acid; 2-Aminosuccinic acid; ácido aspártico; Acidum asparticum; Asp; Aspartic acid; D; L-Asp; L-Asparaginsäure; L-Aspartate; L-Aspartic acid
NCCC[C@H](N)C(=O)O,Ornithine,"(S)-2,5-Diaminopentanoate; (S)-2,5-Diaminopentanoic acid; (S)-2,5-diaminovaleric acid; (S)-ornithine; (S)-α,δ-diaminovaleric acid; L-Ornithine; levo-ornithine; Ornithine; Ornithinum; Ornitina"
