,PC1,PC2,PC3,cluster,MoA
"1,2-Benzodiazepine",-3.282915347059455,-3.1331436530153107,-3.2009690206765904,1,
"1,2-Distearoyllecithin",-9.629303225218466,-0.9345761517943681,-1.1191801476333594,1,
"1,2-icosapentoyl-sn-glycero-3-phosphoserine",3.424508325190363,-1.7225911649047387,6.161823072288237,3,
1-Palmitoyl-2-oleoyl-sn-glycero-3-(phospho-rac-(1-glycerol)),-8.816640854357304,-0.6299322024589886,0.5725721910960688,1,
"2,2'-Dibenzothiazyl disulfide",-1.1935227821148768,-6.414176085585432,-2.504932057204272,3,
2-mercaptobenzothiazole,24.031157920563786,-8.927819760210497,-2.950423350057057,0,
4-(Isopropylamino)diphenylamine,6.689840253376286,9.46165385939002,6.3638506709634655,4,
5-O-phosphono-alpha-D-ribofuranosyl diphosphate,-12.264054106396474,-3.933709839744236,-0.684794607503104,1,
Abacavir,3.6061523289297894,-3.9724554588830685,-3.4990567879954106,3,nucleoside reverse transcriptase inhibitor
Abametapir,-2.80993202119994,6.993827338309513,0.47133454622737636,3,metalloproteinase inhibitor
Abarelix,-13.033096782829524,-7.575754587473229,-5.138932295579111,1,gonadotropin releasing factor hormone receptor antagonist
Abemaciclib,3.939259471972366,-1.1972733335624464,-4.26833780879443,3,CDK inhibitor
Abiraterone,-1.1853800901149623,-7.610801080231017,-5.468534816733828,3,androgen biosynthesis inhibitor
Abrocitinib,1.429390845022355,4.190169987590408,4.084777776624615,3,JAK inhibitor
Acalabrutinib,12.236636777679639,3.6076424309399204,-1.3013923300187191,0,Bruton's tyrosine kinase (BTK) inhibitor
Acamprosate,-4.132988349129311,-2.53364419273838,0.8870085045111548,3,glutamate receptor antagonist
Acarbose,-2.633398949903813,-3.9152896666684796,3.9545603697782115,3,glucosidase inhibitor
Acebutolol,2.663133882476271,-3.015245730204959,6.756078483228,3,adrenergic receptor antagonist
Aceclidine,2.8305628907258598,1.036084298354463,2.382382104554655,3,acetylcholine receptor agonist
Aceclofenac,11.690319726803054,-2.0155817364251893,5.342465238899802,0,prostanoid receptor antagonist
Acemetacin,1.7970635534354218,14.749699500258089,-0.5674567540886505,4,cyclooxygenase inhibitor
Acenocoumarol,-9.74272044660163,14.727563878770756,-4.454075225908673,2,vitamin K antagonist
Acetaminophen,-10.785726756266447,2.8173872806588673,3.306093218074229,1,cyclooxygenase inhibitor
Acetarsol,-11.490815866444965,-4.483447309585061,-0.49573541253403897,1,
Acetazolamide,-0.7786003124766474,3.5581552239741447,4.606403455129738,3,carbonic anhydrase inhibitor
Acetic acid,12.346551764565994,0.954449912787212,6.013105838658307,0,5 alpha reductase inhibitor
Acetohexamide,-12.048976276362593,-1.2334604963503728,-0.25773967210702065,1,ATP channel blocker
Acetohydroxamic acid,12.210937297350766,-0.2760600959065528,0.5960197760666461,0,urease inhibitor
Acetomenaphthone,8.401495263112816,-0.6285623344579032,3.2855598362142304,0,
Acetophenazine,-1.7918401557068258,2.3068713086855555,3.1937137968300364,3,dopamine receptor antagonist
Acetyl sulfisoxazole,1.8894190475869237,-1.8669098864906166,6.746786578268644,3,folic acid antagonist
Acetylcarnitine,-2.215239629884598,-5.79830956015315,-2.100379543587019,3,
Acetylcholine,-9.670782662330895,-3.802175604226429,-0.38357470419981426,1,acetylcholine receptor agonist
Acetylcysteine,18.270725893657037,3.211115655706175,-2.7055737685258516,0,mucolytic agent
Acetyldigitoxin,-19.031182500782506,-2.829710505862994,-2.304598371365757,1,
Acetylene,6.750860848323934,-5.029674837634988,-1.7371806806157741,0,
Acetylsalicylic acid,-0.26288988619533576,9.149418608414766,2.59340198719475,4,cyclooxygenase inhibitor
Acipimox,-11.879042985565665,-5.30253518056572,-0.5693121485993186,1,cholesterol inhibitor
Acitretin,11.729740906335627,-11.062248488704697,-4.046150512128428,0,retinoid receptor agonist
Aclidinium,-12.723023169532702,-1.0830087497929601,-0.8933543967165533,1,acetylcholine receptor antagonist
Acrivastine,2.26918121113653,-3.2777918907773995,-0.8555065701665696,3,histamine receptor antagonist
Activated charcoal,5.337550597113006,-7.064731982078564,4.207097687154613,3,
Acyclovir,18.23788289602701,3.7426009790657053,0.017616083960461052,0,DNA polymerase inhibitor
Adagrasib,-5.862731900888959,1.3252439299943282,-6.503330477713019,1,
Adapalene,1.5283550154461814,-5.8837791739726,-3.4685576092454413,3,retinoid receptor agonist
Adefovir dipivoxil,-4.051362738566825,-0.6970654380269693,-0.6038940551207355,3,DNA polymerase inhibitor
Ademetionine,-7.5036402179947554,-5.416414651045621,1.9067453146801414,1,methyltransferase stimulant|phosphodiesterase inhibitor
