,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Chronic myeloid leukemia,0.56412439932283,1.9288523473539616,0.0,0.0030199249395467926,0.003,48/71,27.46%,BAD;AKT1;CRKL;KRAS;DDB2;CDKN1B;GADD45B;ABL1;IKBKG;MECOM;TP53;PIK3R3;HRAS;BRAF;PIK3CB;TGFBR1;NFKBIA;HDAC1;RB1;MAP2K1;RELA;SHC1;MYC;CDK6;NRAS;SMAD4;NFKB1;CTBP1;SOS2;IKBKB;PIK3CD;GRB2;RAF1;MAPK3;TGFB1;CDKN1A;SMAD3;BCR;RUNX1;CCND1;HDAC2;PIK3R1;PIK3CA;STAT5A;CHUK;CBL;SHC4;SOS1
1,prerank,Hepatitis B,0.5220080943127369,1.9125963434363715,0.0,0.0015099624697733963,0.003,92/153,27.46%,FADD;FAS;FOS;BAD;CREB3L2;IKBKE;AKT1;TBK1;KRAS;DDB2;STAT3;JAK3;JUN;IKBKG;IFNA14;PRKCA;TYK2;APAF1;BID;TP53;PIK3R3;MAP2K4;HRAS;SMAD2;BRAF;PIK3CB;TGFBR1;NFKBIA;STAT1;MAPK13;BCL2;IFNB1;CCNA2;CCNA1;RB1;MAP2K1;MAPK9;CREB3;RELA;MYC;NRAS;CYCS;SMAD4;ATF4;NFKB1;NFATC3;TICAM2;SOS2;IKBKB;PIK3CD;STAT6;MAPK14;CASP3;CCNE1;GRB2;MAP2K7;RAF1;IFIH1;IFNA5;ATF2;MAPK3;PCNA;TGFB1;TICAM1;NFATC4;DDX58;CREB1;CDK2;CREB3L4;CDKN1A;SMAD3;MAPK11;TRAF3;JAK2;YWHAQ;IFNA16;MAP3K1;CREBBP;MYD88;TRAF6;NFATC1;BIRC5;IFNAR1;IFNA2;TAB2;PIK3R1;PIK3CA;STAT5A;IRAK1;MAP2K3;CHUK;SOS1
2,prerank,Colorectal cancer,0.5500523562568197,1.890899334627049,0.0,0.002348830508536394,0.007,48/79,25.56%,FOS;BAD;PMAIP1;AKT1;KRAS;EGFR;DDB2;RPS6KB1;MTOR;GADD45B;JUN;MSH6;TP53;PIK3R3;HRAS;SMAD2;BRAF;PIK3CB;TGFBR1;BCL2;TCF7L2;MAP2K1;MAPK9;RALA;MYC;NRAS;CYCS;SMAD4;AXIN2;SOS2;CTNNB1;PIK3CD;CASP3;GRB2;RAF1;APC;MAPK3;RPS6KB2;TGFB1;AXIN1;CDKN1A;SMAD3;GSK3B;CCND1;BIRC5;LEF1;PIK3R1;PIK3CA
3,prerank,Longevity regulating pathway,0.5371827758388356,1.8825407675149821,0.0,0.002013283293031195,0.008,51/85,25.56%,IGF1R;CREB3L2;PPARG;AKT1;KRAS;FOXO1;RPS6KB1;EIF4E;MTOR;TP53;PIK3R3;HRAS;CAT;STK11;PIK3CB;PRKACG;INSR;FOXO3;HDAC1;RPTOR;CREB3;RELA;ADCY6;NRAS;ATF4;NFKB1;TSC2;SESN1;RHEB;SOD1;PRKAB1;PIK3CD;ATF2;IRS1;IRS2;RPS6KB2;HSPA8;CREB1;TSC1;PRKAG2;EIF4EBP1;CREB3L4;PRKAA1;ADCY7;PRKAG1;ADCY3;PRKACB;PPARGC1A;HDAC2;PIK3R1;PIK3CA
4,prerank,Thyroid cancer,0.5951759305167988,1.8781587452023931,0.0,0.0018119549637280752,0.009,21/34,24.17%,PAX8;PPARG;KRAS;DDB2;TFG;GADD45B;TP53;HRAS;BRAF;TCF7L2;MAP2K1;MYC;NRAS;CTNNB1;MAPK3;NTRK1;CDKN1A;TPR;CCND1;RXRG;LEF1
5,prerank,Prostate cancer,0.5381886979625857,1.8645418395124291,0.0,0.0018455096852785953,0.011,56/89,27.46%,IGF1R;BAD;CREB3L2;AKT1;KRAS;EGFR;FOXO1;CDKN1B;MTOR;IKBKG;TP53;PIK3R3;HRAS;BRAF;PIK3CB;NFKBIA;HSP90AB1;BCL2;TCF7L2;RB1;MAP2K1;ERBB2;ETV5;CREB3;RELA;PLAU;NRAS;ATF4;NFKB1;SOS2;HSP90B1;GSTP1;IKBKB;CTNNB1;FGFR2;PIK3CD;ZEB1;CCNE1;GRB2;RAF1;MAPK3;CREB1;CDK2;CREB3L4;CDKN1A;GSK3B;CCND1;CREBBP;ERG;LEF1;FGFR1;PIK3R1;PIK3CA;PLAT;CHUK;SOS1
6,prerank,Gastric cancer,0.5252891710833438,1.8559707656772308,0.0,0.0018694773435289666,0.013,63/114,27.46%,AKT1;KRAS;EGFR;DDB2;WNT3;RPS6KB1;CDKN1B;MTOR;GADD45B;WNT9A;FZD7;MET;TP53;PIK3R3;HRAS;SMAD2;BRAF;PIK3CB;TGFBR1;CSNK1A1L;BCL2;CSNK1A1;FZD9;TCF7L2;RB1;MAP2K1;ERBB2;SHC1;MYC;NRAS;DVL2;FGF9;SMAD4;AXIN2;SOS2;CTNNB1;FGFR2;RARB;PIK3CD;CCNE1;GRB2;WNT7B;RAF1;APC;MAPK3;RPS6KB2;TGFB1;FZD4;AXIN1;CDK2;CDKN1A;SMAD3;GSK3B;CCND1;RXRG;ABCB1;FZD5;LEF1;PIK3R1;PIK3CA;CDKN2B;SHC4;SOS1
7,prerank,B cell receptor signaling pathway,0.5407447036002444,1.8530739218939696,0.0,0.001635792675587846,0.013,45/68,28.85%,FOS;AKT1;KRAS;BCL10;LYN;JUN;IKBKG;INPP5D;CD19;PTPN6;PIK3R3;HRAS;PPP3CC;PIK3CB;NFKBIB;INPPL1;NFKBIA;MAP2K1;RELA;NRAS;NFKB1;NFATC3;SOS2;IKBKB;CARD11;PIK3CD;GRB2;RAF1;MAPK3;VAV1;FCGR2B;GSK3B;CD81;MALT1;LILRB3;PIK3AP1;NFATC1;DAPP1;PPP3CA;PIK3R1;PIK3CA;CHUK;SOS1;PLCG2;NFKBIE
8,prerank,Central carbon metabolism in cancer,0.5472936433805138,1.8527072148593067,0.0,0.0014540379338558631,0.013,37/60,25.56%,AKT1;KRAS;EGFR;KIT;MTOR;SLC2A1;SLC7A5;MET;TP53;PIK3R3;HRAS;PIK3CB;HK1;SIRT3;FGFR3;MAP2K1;PFKL;ERBB2;MYC;NRAS;HIF1A;PDHB;SLC16A3;FGFR2;PIK3CD;RAF1;MAPK3;GLS;PDHA1;NTRK1;PFKP;LDHA;NTRK3;FLT3;FGFR1;PIK3R1;PIK3CA
9,prerank,ErbB signaling pathway,0.5346208241351301,1.848259888006884,0.0,0.001610626634424956,0.016,49/79,29.01%,BAD;AKT1;CRKL;KRAS;EGFR;RPS6KB1;CDKN1B;MTOR;ABL1;JUN;PRKCA;CBLB;CAMK2D;PIK3R3;MAP2K4;HRAS;BRAF;PIK3CB;ERBB3;MAP2K1;ERBB2;MAPK9;SHC1;MYC;NRAS;SOS2;ABL2;NCK1;ERBB4;PAK4;PIK3CD;CAMK2G;GRB2;MAP2K7;RAF1;MAPK3;RPS6KB2;EIF4EBP1;CDKN1A;GSK3B;NRG1;PIK3R1;PIK3CA;STAT5A;CBL;SHC4;SOS1;PLCG2;PTK2
